Brand,Model Name,Model Image,Technology,2G bands,3G bands,4G bands,Speed,Announced,Status,Dimensions,Weight,SIM,Type,Size,Resolution,OS,Chipset,CPU,GPU,Card slot,Internal,Single,Features,Video,Single_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,Positioning,NFC,Radio,USB,Sensors,Type_1,Charging,Colors,Price,5G bands,Dual,,_1,Triple,Features_1,SAR EU,256GB 8GB RAM,Models,128GB 6GB RAM,64GB 4GB RAM
Honor,Honor X5b Plus,https://fdn2.gsmarena.com/vv/bigpic/honor-x5b-plus.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 900 / 1900 / 2100,LTE,"HSPA, LTE","2024, October 22","Available. Released 2024, October",163.9 x 75.8 x 8.7 mm (6.45 x 2.98 x 0.34 in),194 g (6.84 oz),Nano-SIM + Nano-SIM,"TFT LCD, 90Hz, 530 nits (HBM)","6.56 inches, 103.4 cm2 (~83.2% screen-to-body ratio)","720 x 1612 pixels, 20:9 ratio (~269 ppi density)","Android 14, Magic OS 8",Mediatek Helio G36 (12 nm),Octa-core (4x2.2 GHz Cortex-A53 & 4x1.6 GHz Cortex-A53),PowerVR GE8320,microSDXC,"128GB 4GB RAM, 256GB 4GB RAM","50 MP, f/1.8, (wide) Auxiliary lens",LED flash,1080p@30fps,"5 MP, f/2.2, (wide)",1080p@30fps,Yes,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","5.1, A2DP, LE, aptX HD","GPS, GLONASS, GALILEO, BDS",No,Unspecified,"USB Type-C 2.0, OTG","Fingerprint (side-mounted), accelerometer, proximity",Li-Po 5200 mAh,10W wired,"Ocean Blue, Starry Purple, Midnight Black",About 100 EUR,,,,,,,,,,,
Honor,Honor X5b,https://fdn2.gsmarena.com/vv/bigpic/honor-x5b.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 900 / 1900 / 2100,LTE,"HSPA, LTE","2024, October 22","Available. Released 2024, October",163.9 x 75.8 x 8.7 mm (6.45 x 2.98 x 0.34 in),194 g (6.84 oz),Nano-SIM + Nano-SIM,"TFT LCD, 90Hz, 530 nits (HBM)","6.56 inches, 103.4 cm2 (~83.2% screen-to-body ratio)","720 x 1612 pixels, 20:9 ratio (~269 ppi density)","Android 14, Magic OS 8",Mediatek Helio G36 (12 nm),Octa-core (4x2.2 GHz Cortex-A53 & 4x1.6 GHz Cortex-A53),PowerVR GE8320,microSDXC,"64GB 4GB RAM, 128GB 4GB RAM","13 MP, f/1.8, (wide) Auxiliary lens",LED flash,1080p@30fps,"5 MP, f/2.2, (wide)",1080p@30fps,Yes,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","5.1, A2DP, LE, aptX HD","GPS, GLONASS, GALILEO, BDS",No,Unspecified,"USB Type-C 2.0, OTG","Fingerprint (side-mounted), accelerometer, proximity",Li-Po 5200 mAh,10W wired,"Ocean Blue, Starry Purple, Midnight Black",About 80 EUR,,,,,,,,,,,
Honor,Honor X7b 5G (50 MP),https://fdn2.gsmarena.com/vv/bigpic/honor-x7b-5g-50mp.jpg,GSM / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 900 / 1900 / 2100,LTE,"HSPA, LTE, 5G","2024, June","Available. Released 2024, June",166.7 x 76.5 x 8.2 mm (6.56 x 3.01 x 0.32 in),199 g (7.02 oz),Nano-SIM + Nano-SIM,"IPS LCD, 90Hz, 850 nits (peak)","6.8 inches, 111.3 cm2 (~87.3% screen-to-body ratio)","1080 x 2412 pixels, 20:9 ratio (~389 ppi density)","Android 13, Magic OS 7.2",Mediatek Dimensity 6020 (7 nm),Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,No,256GB 8GB RAM,"8 MP, f/2.0, (wide)","LED flash, HDR, panorama",1080p@30fps,,1080p@30fps,"Yes, with stereo speakers",Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","5.1, A2DP, LE, aptX HD","GPS, GLONASS, GALILEO, BDS",Yes (market/region dependent),No,"USB Type-C 2.0, OTG","Fingerprint (side-mounted), accelerometer, compass",Li-Po 6000 mAh,35W wired,"Crystal Silver, Emerald Green, Midnight Black",About 200 EUR,SA/NSA,"50 MP, f/1.8, (wide), PDAF 2 MP, f/2.4, (depth)",24-bit/192kHz Hi-Res audio,Virtual proximity sensing,,,,,,,
Honor,Honor 200 Lite,https://fdn2.gsmarena.com/vv/bigpic/honor-200-lite.jpg,GSM / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 900 / 1900 / 2100,LTE,"HSPA, LTE, 5G","2024, April 25","Available. Released 2024, May 03",161.1 x 74.6 x 6.8 mm (6.34 x 2.94 x 0.27 in),166 g (5.86 oz),Nano-SIM + Nano-SIM,"AMOLED, 90Hz","6.7 inches, 108.0 cm2 (~89.9% screen-to-body ratio)","1080 x 2412 pixels, 20:9 ratio (~394 ppi density)","Android 14, MagicOS 8",Mediatek Dimensity 6080 (6 nm),Octa-core (2x2.4 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,No,"256GB 8GB RAM, 256GB 12GB RAM","50 MP, f/2.1, (wide)","LED flash, HDR, panorama",1080p@30fps,,1080p@30fps,Yes,No,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","5.1, A2DP, LE","GPS, GLONASS, GALILEO, BDS",Yes (market/region dependent),Unspecified,"USB Type-C 2.0, OTG","Fingerprint (side-mounted), accelerometer, proximity, compass",Li-Po 4500 mAh,35W wired,"Starry Blue, Cyan Lake, Black","$ 199.60 / € 145.00 / £ 144.49 / ₹ 18,998",SA/NSA,,,,"108 MP, f/1.8, (wide), PDAF 5 MP, f/2.2, (ultrawide) 2 MP, f/2.4, (macro)",LED flash,0.84 W/kg (head)     1.25 W/kg (body),$ 199.60,,,
Honor,Honor X7b 5G,https://fdn2.gsmarena.com/vv/bigpic/honor-x7b-5g.jpg,GSM / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 900 / 1900 / 2100,"1, 3, 5, 7, 8, 34, 38, 39, 40, 41","HSPA, LTE, 5G","2024, April 04","Available. Released 2024, May",166.7 x 76.5 x 8.2 mm (6.56 x 3.01 x 0.32 in),199 g (7.02 oz),Nano-SIM + Nano-SIM,"IPS LCD, 90Hz, 850 nits (peak)","6.8 inches, 111.3 cm2 (~87.3% screen-to-body ratio)","1080 x 2412 pixels, 20:9 ratio (~389 ppi density)","Android 13, Magic OS 7.2",Mediatek Dimensity 6020 (7 nm),Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,No,256GB 8GB RAM,"8 MP, f/2.0, (wide)","LED flash, HDR, panorama",1080p@30fps,,1080p@30fps,"Yes, with stereo speakers",Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","5.1, A2DP, LE, aptX HD","GPS, GLONASS, GALILEO, BDS",No,No,"USB Type-C 2.0, OTG","Fingerprint (side-mounted), accelerometer, compass",Li-Po 6000 mAh,35W wired,"Crystal Silver, Emerald Green, Midnight Black",$ 145.00 / £ 169.00,"1, 5, 8, 28, 41, 78 SA/NSA",,24-bit/192kHz Hi-Res audio,Virtual proximity sensing,"108 MP, f/1.8, (wide), PDAF 2 MP, f/2.4, (macro) 2 MP, f/2.4, (depth)",,,$ 145.00,,,
Honor,Honor X7b,https://fdn2.gsmarena.com/vv/bigpic/honor-x7b-new.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 900 / 1900 / 2100,LTE,"HSPA, LTE","2023, December 01","Available. Released 2023, December 01",166.7 x 76.5 x 8.2 mm (6.56 x 3.01 x 0.32 in),199 g (7.02 oz),Nano-SIM + Nano-SIM,"IPS LCD, 90Hz, 850 nits (peak)","6.8 inches, 111.3 cm2 (~87.3% screen-to-body ratio)","1080 x 2412 pixels, 20:9 ratio (~389 ppi density)","Android 13, upgradable to Android 14, MagicOS 8",Qualcomm SM6225 Snapdragon 680 4G (6 nm),Octa-core (4x2.4 GHz Kryo 265 Gold & 4x1.9 GHz Kryo 265 Silver),Adreno 610,microSDXC,"128GB 6GB RAM, 128GB 8GB RAM, 256GB 6GB RAM, 256GB 8GB RAM, 256GB 12GB RAM","8 MP, f/2.0, (wide)","LED flash, HDR, panorama",1080p@30fps,,1080p@30fps,"Yes, with stereo speakers",Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","5.0, A2DP, LE","GPS, GLONASS, GALILEO, BDS",Yes (CLK-LX1 only),No,"USB Type-C 2.0, OTG","Fingerprint (side-mounted), accelerometer",Li-Po 5330 mAh (Europe and LATAM)Li-Po 6000 mAh (ROW),35W wired,"Flowing Silver, Emerald Green, Midnight Black",$ 159.00 / € 149.99 / £ 102.76,,,24-bit/192kHz Hi-Res audio,Virtual proximity sensing,"108 MP, f/1.8, 24mm (wide), 1/1.67"", 0.64µm, PDAF 5 MP, f/2.2, (ultrawide) 2 MP, f/2.4, (depth)",,,$ 159.00,"CLK-LX1, CLK-LX2, CLK-LX3",$ 173.20,
Honor,Honor X5 Plus,https://fdn2.gsmarena.com/vv/bigpic/honor-x5-plus.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 900 / 1900 / 2100,LTE,"HSPA, LTE","2023, August 16","Available. Released 2023, August",163.3 x 75.1 x 8.4 mm (6.43 x 2.96 x 0.33 in),188 g (6.63 oz),Nano-SIM + Nano-SIM,"TFT LCD, 90Hz","6.56 inches, 103.4 cm2 (~84.3% screen-to-body ratio)","720 x 1612 pixels, 20:9 ratio (~269 ppi density)","Android 13, MagicOS 7.1",Mediatek Helio G36 (12 nm),Octa-core (4x2.2 GHz Cortex-A53 & 4x1.6 GHz Cortex-A53),PowerVR GE8320,microSDXC,"64GB 4GB RAM, 128GB 4GB RAM","5 MP, f/2.2, (wide)","LED flash, HDR, panorama",1080p@30fps,,1080p@30fps,Yes,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","5.1, A2DP, LE, aptX HD","GPS, GLONASS, GALILEO, BDS",Yes (market/region dependent),Unspecified,"USB Type-C 2.0, OTG","Fingerprint (side-mounted), accelerometer, proximity",Li-Po 5200 mAh,10W wired,"Cyan Lake, Midnight Black",$ 99.00,,"50 MP, f/1.8, (wide), PDAF 2 MP, f/2.4, (depth)",,,,,,,"WOD-LX1, WOD-LX2, WOD-LX3",,$ 99.00
Honor,Honor X6a,https://fdn2.gsmarena.com/vv/bigpic/honor-x6a.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 900 / 1900 / 2100,LTE,"HSPA, LTE","2023, July 28","Available. Released 2023, July 28",163.3 x 75.1 x 8.4 mm (6.43 x 2.96 x 0.33 in),188 g (6.63 oz),Nano-SIM + Nano-SIM,"TFT LCD, 90Hz","6.56 inches, 103.4 cm2 (~84.3% screen-to-body ratio)","720 x 1612 pixels, 20:9 ratio (~269 ppi density)","Android 13, Magic OS 7.1",Mediatek Helio G36 (12 nm),Octa-core (4x2.2 GHz Cortex-A53 & 4x1.7 GHz Cortex-A53),PowerVR GE8320,microSDXC,"128GB 4GB RAM, 128GB 6GB RAM, 256GB 6GB RAM","5 MP, f/2.2, (wide)","LED flash, HDR, panorama",1080p@30fps,,1080p@30fps,Yes,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","5.1, A2DP, LE","GPS, GLONASS, GALILEO, BDS",Yes,No,"USB Type-C 2.0, OTG","Fingerprint (side-mounted), accelerometer, proximity, gyro",Li-Po 5200 mAh,"22.5W wired, 31% in 20 min","Cyan Lake, Midnight Black",About 150 EUR,,,,,"50 MP, f/1.8, (wide), PDAF 2 MP, f/2.4, (macro) 2 MP, f/2.4, (depth)",,,,"WDY-LX1, WDY-LX2",,
Honor,Honor 90 Lite,https://fdn2.gsmarena.com/vv/bigpic/honor-90-lite.jpg,GSM / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 900 / 1900 / 2100,LTE,"HSPA, LTE, 5G","2023, June 20","Available. Released 2023, June 20",162.9 x 74.5 x 7.5 mm (6.41 x 2.93 x 0.30 in),179 g (6.31 oz),Nano-SIM + Nano-SIM,"IPS LCD, 90Hz","6.7 inches, 108.7 cm2 (~89.6% screen-to-body ratio)",1080 x 2388 pixels (~391 ppi density),"Android 13, Magic OS 7.1",Mediatek Dimensity 6020 (7 nm),Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,No,"256GB 4GB RAM, 256GB 8GB RAM","16 MP, f/2.5, (wide)","LED flash, HDR, panorama",1080p@30fps,,1080p@30fps,Yes,No,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","5.1, A2DP, LE (5.3, France)","GPS, GLONASS, GALILEO, BDS",Yes (market/region dependent),Unspecified,"USB Type-C 2.0, OTG","Fingerprint (side-mounted), accelerometer, compass",Li-Po 4500 mAh,"35W wired, 55% in 30 min (Europe) 22.5W wired (Global)","Titanium Silver, Cyan Lake, Midnight Black",$ 309.00 / € 109.00 / £ 144.50,SA/NSA,,24-bit/192kHz Hi-Res audio,Virtual proximity sensing,"100 MP, f/1.9, (wide), PDAF 5 MP, f/2.2, (ultrawide) 2 MP, f/2.4, (macro)",,,$ 309.00,CRT-NX1,,
Honor,Honor X7b,https://fdn2.gsmarena.com/vv/bigpic/honor-x7b-new.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 900 / 1900 / 2100,LTE,"HSPA, LTE","2023, December 01","Available. Released 2023, December 01",166.7 x 76.5 x 8.2 mm (6.56 x 3.01 x 0.32 in),199 g (7.02 oz),Nano-SIM + Nano-SIM,"IPS LCD, 90Hz, 850 nits (peak)","6.8 inches, 111.3 cm2 (~87.3% screen-to-body ratio)","1080 x 2412 pixels, 20:9 ratio (~389 ppi density)","Android 13, upgradable to Android 14, MagicOS 8",Qualcomm SM6225 Snapdragon 680 4G (6 nm),Octa-core (4x2.4 GHz Kryo 265 Gold & 4x1.9 GHz Kryo 265 Silver),Adreno 610,microSDXC,"128GB 6GB RAM, 128GB 8GB RAM, 256GB 6GB RAM, 256GB 8GB RAM, 256GB 12GB RAM","8 MP, f/2.0, (wide)","LED flash, HDR, panorama",1080p@30fps,,1080p@30fps,"Yes, with stereo speakers",Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","5.0, A2DP, LE","GPS, GLONASS, GALILEO, BDS",Yes (CLK-LX1 only),No,"USB Type-C 2.0, OTG","Fingerprint (side-mounted), accelerometer",Li-Po 5330 mAh (Europe and LATAM)Li-Po 6000 mAh (ROW),35W wired,"Flowing Silver, Emerald Green, Midnight Black",$ 159.00 / € 149.99 / £ 102.76,,,24-bit/192kHz Hi-Res audio,Virtual proximity sensing,"108 MP, f/1.8, 24mm (wide), 1/1.67"", 0.64µm, PDAF 5 MP, f/2.2, (ultrawide) 2 MP, f/2.4, (depth)",,,$ 159.00,"CLK-LX1, CLK-LX2, CLK-LX3",$ 173.20,
