Brand,Model Name,Model Image,Technology,2G bands,3G bands,4G bands,Speed,Announced,Status,Dimensions,Weight,SIM,Type,Size,Resolution,OS,Chipset,CPU,GPU,Card slot,Internal,Single,Features,Video,Single_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,Positioning,NFC,Radio,USB,Sensors,Type_1,Charging,Colors,Price,5G bands,Dual,,_1,Triple,Features_1,SAR EU,256GB 8GB RAM,Models,128GB 6GB RAM,64GB 4GB RAM,128GB 8GB RAM,128GB 4GB RAM,Quad,Performance,Display,Camera,Loudspeaker_1,Battery (old),Build,Audio quality
Huawei,Huawei nova 12i,https://fdn2.gsmarena.com/vv/bigpic/huawei-nova-12i.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"1, 2, 3, 4, 5, 7, 8, 18, 19, 20, 26, 28, 34, 38, 39, 40, 41","HSPA, LTE","2024, March 19","Available. Released 2024, April 16",163.3 x 74.7 x 8.4 mm (6.43 x 2.94 x 0.33 in),199 g (7.02 oz),Nano-SIMNano-SIM + Nano-SIM,"IPS LCD, 90Hz","6.7 inches, 108.7 cm2 (~89.1% screen-to-body ratio)",1080 x 2388 pixels (~391 ppi density),"EMUI 14, no Google Play Services",Qualcomm Snapdragon 680 4G (6 nm),Octa-core (4x2.4 GHz Cortex-A73 & 4x1.9 GHz Cortex-A53),Adreno 610,No,"128GB 8GB RAM, 256GB 8GB RAM","8 MP, f/2.0, (wide)","LED flash, HDR, panorama",1080p@30fps,,1080p@30fps,Yes,No,"Wi-Fi 802.11 a/b/g/n/ac, dual-band","5.0, A2DP, LE","GPS, GLONASS, GALILEO, BDS, QZSS",Yes,No,USB Type-C 2.0,"Fingerprint (side-mounted), accelerometer, compass",Li-Po 5000 mAh,"40W wired, 3-62% in 30 min","Green, Black, White",€ 249.00,,"108 MP, f/1.9, 26mm (wide), PDAF 2 MP, f/2.4, (depth)",,,,,,,"CTR-AL20, CTR-L81",,,€ 249.00,,,,,,,,,
Huawei,Huawei nova Y72,https://fdn2.gsmarena.com/vv/bigpic/huawei-enjoy-70.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,HSDPA 800 / 850 / 900 / 2100,"1, 3, 5, 7, 8, 20, 28, 18, 19, 34, 38, 39, 40, 41","HSPA, LTE","2024, January 26","Available. Released 2024, February",168.3 x 77.7 x 8.9 mm (6.63 x 3.06 x 0.35 in),207 g (7.30 oz),Nano-SIM + Nano-SIM,TFT LCD,"6.75 inches, 110.0 cm2 (~84.1% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~260 ppi density)",EMUI 12,Kirin 710A (14 nm),Octa-core (4x2.0 GHz Cortex-A73 & 4x1.7 GHz Cortex-A53),Mali-G51 MP4,No,"128GB 8GB RAM, 256GB 8GB RAM","8 MP, f/2.0, (wide)","LED flash, HDR, panorama",1080p@30fps,,1080p@30fps,Yes,No,"Wi-Fi 802.11 a/b/g/n/ac, dual-band","5.1, A2DP, LE","GPS, GLONASS, GALILEO, BDS, QZSS",Yes (market/region dependent),No,"USB Type-C 2.0, OTG","Fingerprint (side-mounted), accelerometer, proximity, compass",6000 mAh,22.5W wired,"Black, Green",About 240 EUR,,"50 MP, f/1.8, (wide), AF 2 MP, f/2.4, (macro)",Always-on display,,,,,,MGA-LX3,,,,,,,,,,,,
Huawei,Huawei nova Y91,https://fdn2.gsmarena.com/vv/bigpic/huawei-nova-y91.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"1, 2, 3, 4, 5, 7, 8, 13, 20, 26, 28, 38, 40, 41, 66","HSPA, LTE","2023, May 23","Available. Released 2023, June 10",171.6 x 79.9 x 8.9 mm (6.76 x 3.15 x 0.35 in),214 g (7.55 oz),Nano-SIMNano-SIM + Nano-SIM,"IPS LCD, 90Hz","6.95 inches, 117.4 cm2 (~85.6% screen-to-body ratio)",1080 x 2376 pixels (~376 ppi density),"EMUI 13, no Google Play Services",Qualcomm Snapdragon 680 4G (6 nm),Octa-core (4x2.4 GHz Cortex-A73 & 4x1.9 GHz Cortex-A53),Adreno 610,Unspecified,"128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM","8 MP, f/2.0, (wide)","LED flash, HDR, panorama",1080p@30fps,,1080p@30fps,"Yes, with stereo speakers",No,"Wi-Fi 802.11 a/b/g/n/ac, dual-band","5.0, A2DP, LE","GPS, GLONASS, GALILEO, BDS, QZSS",No,No,USB Type-C 2.0,"Fingerprint (side-mounted), accelerometer, proximity, gyro, compass",Li-Po 7000 mAh,22.5W wired,"Starry Black, Moonlight Silver",About 280 EUR,,"50 MP, f/1.8, (wide), PDAF 2 MP, (depth)",Splash and dust resistant,,,,,,"STG-LX1, STG-LX2",,,,,,,,,,,,
Huawei,Huawei nova 11i,https://fdn2.gsmarena.com/vv/bigpic/huawei-nova-11i.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"1, 2, 3, 4, 5, 7, 8, 13, 20, 28, 66, 26, 38, 40, 41","HSPA, LTE","2023, May 01","Available. Released 2023, May 11",164.6 x 75.6 x 8.6 mm (6.48 x 2.98 x 0.34 in),193 g (6.81 oz),Nano-SIMNano-SIM + Nano-SIM,"IPS LCD, 90Hz","6.8 inches, 112.0 cm2 (~90.0% screen-to-body ratio)",1080 x 2388 pixels (~385 ppi density),EMUI 13,Qualcomm Snapdragon 680 4G (6 nm),Octa-core (4x2.4 GHz Cortex-A73 & 4x1.9 GHz Cortex-A53),Adreno 610,Unspecified,"128GB 8GB RAM, 256GB 8GB RAM","16 MP, f/2.2, (wide)","LED flash, HDR, panorama",1080p@30fps,,1080p@30fps,Yes,No,"Wi-Fi 802.11 a/b/g/n/ac, dual-band","5.0, A2DP, LE","GPS, GLONASS, GALILEO, BDS, QZSS",No,No,USB Type-C 2.0,"Fingerprint (side-mounted), accelerometer, compass",Li-Po 5000 mAh,"40W wired, 60% in 30 min","Starry Black, Mint Green",$ 385.00 / € 151.19,,"48 MP, f/1.8, (wide), PDAF 2 MP, (depth)",Splash and dust resistant,,,,,,"MAO-LX9, MAO-LX9N",,,$ 385.00,,,,,,,,,
Huawei,Huawei nova Y71,https://fdn2.gsmarena.com/vv/bigpic/huawei-nova-y71.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 900 / 1900 / 2100,"1, 3, 5, 7, 8, 20, 28, 38, 40, 41","HSPA, LTE","2023, May 09","Available. Released 2023, June",168.3 x 77.7 x 9 mm (6.63 x 3.06 x 0.35 in),199 g (7.02 oz),Nano-SIMNano-SIM + Nano-SIM,IPS LCD,"6.75 inches, 110.0 cm2 (~84.1% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~260 ppi density)","EMUI 12, no Google Play Services",Kirin 710A (14 nm),Octa-core (4x2.0 GHz Cortex-A73 & 4x1.7 GHz Cortex-A53),Mali-G51 MP4,microSDXC (uses shared SIM slot),128GB 8GB RAM,"8 MP, f/2.0","LED flash, HDR, panorama",1080p@30fps,,1080p@30fps,Yes,Yes,Wi-Fi 802.11 b/g/n,"5.1, A2DP, LE","GPS, GLONASS, GALILEO, BDS, QZSS",No,No,"USB Type-C 2.0, OTG","Fingerprint (side-mounted), accelerometer, proximity, compass",Li-Po 6000 mAh,22.5W wired,"Black, Gold",About 190 EUR,,,,,"48 MP, f/1.8, 26mm (wide), PDAF 5 MP, f/2.2, 120˚ (ultrawide) 2 MP, f/2.4, (depth)",HDR,,,,,,,,,,,,,,,
Huawei,Huawei nova Y61,https://fdn2.gsmarena.com/vv/bigpic/huawei-nova-y61.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 - EVE-LX3,"1, 2, 3, 4, 5, 7, 8, 13, 26, 28, 38, 40, 66 - EVE-LX3","HSPA, LTE","2022, November 01","Available. Released 2022, November",164.3 x 75.8 x 8.9 mm (6.47 x 2.98 x 0.35 in),188 g (6.63 oz),Nano-SIM + Nano-SIM,IPS LCD,"6.52 inches, 102.6 cm2 (~82.4% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~269 ppi density)","EMUI 12, no Google Play Services",,Octa-core,,microSDXC,"64GB 4GB RAM, 64GB 6GB RAM, 128GB 4GB RAM, 128GB 8GB RAM","5 MP, f/2.2, (wide)","LED flash, HDR, panorama",1080p@30fps,,1080p@30fps,Yes,Yes,Wi-Fi 802.11 b/g/n,"5.1, A2DP, LE","GPS, GLONASS, GALILEO, BDS, QZSS",Yes (EVE-LX9N only),Unspecified,"USB Type-C 2.0, OTG","Fingerprint (side-mounted), accelerometer, proximity, compass",5000 mAh,22.5W wired,"Sapphire Blue, Mint Green, Midnight Black",About 140 EUR,,,"HSDPA 850 / 900 / 1900 / 2100 - EVE-LX9, EVE-LX9N","1, 3, 5, 7, 8, 20, 28, 38, 40, 41 - EVE-LX9, EVE-LX9N","50 MP, f/1.8, (wide), AF 2 MP, f/2.4, (macro) 2 MP, f/2.4, (depth)",,,,"EVE-LX9, EVE-LX9N, EVE-LX3",,,,,,,,,,,,
Huawei,Huawei nova Y90,https://fdn2.gsmarena.com/vv/bigpic/huawei-nova-y90.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 900 / 1900 / 2100,"1, 3, 5, 7, 8, 20, 28, 38, 40, 41","HSPA, LTE","2022, June 23","Available. Released 2022, July 27",163.3 x 74.7 x 8.4 mm (6.43 x 2.94 x 0.33 in),195 g (6.88 oz),Nano-SIMNano-SIM + Nano-SIM,"IPS LCD, 90Hz","6.7 inches, 108.7 cm2 (~89.1% screen-to-body ratio)",1080 x 2388 pixels (~391 ppi density),EMUI 12,Qualcomm SM6225 Snapdragon 680 4G (6 nm),Octa-core (4x2.4 GHz Kryo 265 Gold & 4x1.9 GHz Kryo 265 Silver),Adreno 610,No,"128GB 4GB RAM, 128GB 6GB RAM, 128GB 8GB RAM","8 MP, f/2.0","LED flash, panorama, HDR",1080p@30fps,,1080p@30fps,Yes,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","5.0, A2DP, LE","GPS, GLONASS, BDS, GALILEO, QZSS",Yes (market/region dependent),No,"USB Type-C 2.0, OTG","Fingerprint (side-mounted), accelerometer, compass",Li-Po 5000 mAh,"40W wired, 50% in 30 min","Crystal Blue, Pearl White, Emerald Green, Midnight Black",About 160 EUR,,,Virtual proximity sensing,,"50 MP, f/1.8, (wide), PDAF 2 MP, f/2.4, (macro) 2 MP, f/2.4, (depth)",,,,"CTR-LX2, CTR-LX1, CTR-LX3",,,,,,,,,,,,
Huawei,Huawei nova Y70 Plus,https://fdn2.gsmarena.com/vv/bigpic/huawei-nova-y70-plus.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 - Europe,"1, 2, 3, 4, 5, 7, 8, 13, 26, 28, 38, 66 - Europe","HSPA, LTE","2022, April 20","Available. Released 2022, May 01",168.3 x 77.7 x 9 mm (6.63 x 3.06 x 0.35 in),199 g (7.02 oz),Nano-SIMNano-SIM + Nano-SIM,IPS LCD,"6.75 inches, 110.0 cm2 (~84.1% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~260 ppi density)","EMUI 12, no Google Play Services",Kirin 710A (14 nm),Octa-core (4x2.0 GHz Cortex-A73 & 4x1.7 GHz Cortex-A53),Mali-G51 MP4,microSDXC (uses shared SIM slot),"64GB 4GB RAM, 128GB 4GB RAM","8 MP, f/2.0","LED flash, HDR, panorama",1080p@30fps,,1080p@30fps,Yes,Yes,Wi-Fi 802.11 b/g/n,"5.1, A2DP, LE","GPS, GLONASS, GALILEO, BDS, QZSS",No,No,"USB Type-C 2.0, OTG","Fingerprint (side-mounted), accelerometer, proximity, compass",Li-Po 6000 mAh,22.5W wired,"Crystal Blue, Midnight Black, Pearl White",$ 445.00 / € 132.30,,,HSDPA 850 / 900 / 1900 / 2100 - Africa,"1, 3, 5, 7, 8, 20, 28, 38, 40, 41 - Africa","48 MP, f/1.8, 26mm (wide), PDAF 5 MP, f/2.2, 120˚ (ultrawide) 2 MP, f/2.4, (depth)",HDR,,,"MGA-LX9, MGA-LX9N, MGA-LX3",,€ 132.30,,$ 445.00,,,,,,,,
Huawei,Huawei nova Y60,https://fdn2.gsmarena.com/vv/bigpic/huawei-nova-y60.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"2, 3, 4, 5, 7, 8, 20, 26, 38, 40, 41, 66","HSPA, LTE","2021, September 07","Available. Released 2021, September 07",165.2 x 76 x 9.2 mm (6.50 x 2.99 x 0.36 in),185 g (6.53 oz),Nano-SIMNano-SIM + Nano-SIM,IPS LCD,"6.6 inches, 105.2 cm2 (~83.8% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~266 ppi density)","Android 10, EMUI 11, no Google Play Services",Mediatek MT6765 Helio P35 (12 nm),Octa-core (4x2.35 GHz Cortex-A53 & 4x1.8 GHz Cortex-A53),PowerVR GE8320,microSDXC (uses shared SIM slot),64GB 4GB RAM,"8 MP, f/2.0","LED flash, HDR, panorama",1080p@30fps,,1080p@30fps,Yes,Yes,Wi-Fi 802.11 b/g/n,"5.1, A2DP, LE","GPS, GLONASS, GALILEO, BDS",No,No,"USB Type-C 2.0, OTG","Fingerprint (side-mounted), accelerometer, proximity",Li-Po 5000 mAh,10W wired,"Midnight Black, Crush Green",About 150 EUR,,,,,"13 MP, f/1.8, 26mm (wide), PDAF 5 MP, f/2.2, 120˚ (ultrawide) 2 MP, f/2.4, (depth)",HDR,,,"WKG-LX9, Wukong-L29A",,,,,,,,,,,,
Huawei,Huawei nova 8i,https://fdn2.gsmarena.com/vv/bigpic/huawei-nova-8i.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 900 / 2100,"1, 3, 5, 7, 8, 20, 28, 38, 40, 41","HSPA, LTE","2021, July 07","Available. Released 2021, July 22",161.9 x 74.7 x 8.6 mm (6.37 x 2.94 x 0.34 in),190 g (6.70 oz),Nano-SIM + Nano-SIM,IPS LCD,"6.67 inches, 108.1 cm2 (~89.4% screen-to-body ratio)",1080 x 2376 pixels (~391 ppi density),"Android 10, EMUI 11, no Google Play Services",Qualcomm SM6115 Snapdragon 662 (11 nm),Octa-core (4x2.0 GHz Kryo 260 Gold & 4x1.8 GHz Kryo 260 Silver),Adreno 610,No,"128GB 6GB RAM, 128GB 8GB RAM","16 MP, f/2.0, (wide)","LED flash, Panorama, HDR",1080p@30fps,,1080p@30fps,Yes,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","5.0, A2DP, LE","GPS, GLONASS, GALILEO, BDS",No,No,USB Type-C 2.0,"Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",Li-Po 4300 mAh,"66W wired, 60% in 17 min, 100% in 38 min","Moonlight Silver, Interstellar Blue, Starry Black",About 200 EUR,,,,,,HDR,,,"NEN-L22, NEN-LX1, NEN-LX3",,,,,"64 MP, f/1.9, 26mm (wide), PDAF 8 MP, f/2.4, 120˚, 17mm (ultrawide) 2 MP, f/2.4, (macro) 2 MP, f/2.4, (depth)",,,,,,,
