Brand,Model
 STYLO           , AFRICA                                                   
 STYLO           , COBALT                                                   
 QUEST MOBILE    , DOGDER                                                   
 STYLO           , EPIC                                                     
 STYLO           , FLARE                                                    
 HISENSE         , HISENSE E31 LITE                                         
 HISENSE         , HISENSE E32 LITE                                         
 HISENSE         , HISENSE E32 PRO                                          
 HISENSE         , HISENSE E33                                              
 HISENSE         , HISENSE E34                                              
 HISENSE         , HISENSE E50 LITE              
 HISENSE         , HISENSE E60 LITE                                         
 HISENSE         , HISENSE E70                                              
 HISENSE         , HISENSE E70 PRO                                          
 HISENSE         , HISENSE INFINITY E30 LITE                                
 HISENSE         , HISENSE INFINITY E50 LITE
 HISENSE         , HISENSE U3 2021                            
 HISENSE         , HISENSE U30                                              
 HISENSE         , HISENSE U40                                              
 HISENSE         , HISENSE U40 LITE                                         
 HISENSE         , HISENSE U41 LITE                                         
 HISENSE         , HISENSE U42 LITE                                         
 HISENSE         , HISENSE U50                                              
 HISENSE         , HISENSE U50 LITE                                         
 HISENSE         , HISENSE U60                                              
 HISENSE         , HISENSE U60 LITE                                         
 HISENSE         , HISENSE U607                                             
 HISENSE         , HISENSE U61                                              
 HISENSE         , HISENSE U70                                              
 HISENSE         , HISENSE U70 PRO                                          
 HISENSE         , HISENSE U71                                              
 HISENSE         , HISENSE U963
 HISENSE         , HISENSE U963                                             
 HONOR           , HONOR 200 LITE                                           
 HONOR           , HONOR 90 LITE                                            
 HONOR           , HONOR X5 PLUS                                            
 HONOR           , HONOR X5B                                                
 HONOR           , HONOR X6A                                                
 HONOR           , HONOR X7B                                                
 HUAWEI          , HUAWEI NOVA 11I                                          
 HUAWEI          , HUAWEI NOVA 12I                                          
 HUAWEI          , HUAWEI NOVA 7I                          
 HUAWEI          , HUAWEI NOVA 8I                                           
 HUAWEI          , HUAWEI NOVA Y60                                          
 HUAWEI          , HUAWEI NOVA Y61                                          
 HUAWEI          , HUAWEI NOVA Y70                                          
 HUAWEI          , HUAWEI NOVA Y71                                          
 HUAWEI          , HUAWEI NOVA Y72                                          
 HUAWEI          , HUAWEI NOVA Y90                                          
 HUAWEI          , HUAWEI NOVA Y91                                          
 HUAWEI          , HUAWEI P SMART 2021                                      
 HUAWEI          , HUAWEI P30 LITE                                          
 HUAWEI          , HUAWEI P40 LITE
 HUAWEI          , HUAWEI Y5 (2019)                                         
 HUAWEI          , HUAWEI Y5 LITE                                           
 HUAWEI          , HUAWEI Y7 PRIME 2019                                     
 HUAWEI          , HUAWEI Y7P                                               
 HUAWEI          , HUAWEI Y9A                                               
 ITEL            , ITEL A04                                                 
 ITEL            , ITEL A05S                                                
 ITEL            , ITEL A18                                                 
 ITEL            , ITEL A48                                                 
 ITEL            , ITEL A60S                                                
 ITEL            , ITEL AC13                                                
 ITEL            , ITEL AC33                                                
 ITEL            , ITEL AC50                                                
 ITEL            , ITEL IT2160                                              
 ITEL            , ITEL IT5026                                              
 ITEL            , ITEL P40                                                 
 ITEL            , ITEL V51 LTE                                             
 ITEL            , ITEL V52 LTE                                             
 ITEL            , ITEL VALUE 100                                           
 ITEL            , ITEL VISION 1 PRO                                        
 KOBILE          , L200                                                     
 MOBICEL         , MOBICEL BERRY 2                                          
 MOBICEL         , MOBICEL C1                                               
 MOBICEL         , MOBICEL C2                                               
 MOBICEL         , MOBICEL C2.1                                             
 MOBICEL         , MOBICEL C3                                               
 MOBICEL         , MOBICEL C6 4G CLOUD FEATURE PHONE                        
 MOBICEL         , MOBICEL CLIK                                             
 MOBICEL         , MOBICEL COSMO LTE                                        
 MOBICEL         , MOBICEL EPIC                                             
 MOBICEL         , MOBICEL F40                                              
 MOBICEL         , MOBICEL F41                                              
 MOBICEL         , MOBICEL FENDY                                            
 MOBICEL         , MOBICEL FORCE                                            
 MOBICEL         , MOBICEL G4                                               
 MOBICEL         , MOBICEL IX                                               
 MOBICEL         , MOBICEL LEGEND                                           
 MOBICEL         , MOBICEL MX1                                              
 MOBICEL         , MOBICEL MX2                                              
 MOBICEL         , MOBICEL MX2 PLUS                                         
 MOBICEL         , MOBICEL MX3                                              
